"Z","M","Y","x1","x2","x3","x4","x5","x6","x7","R_m","R_y"
1,1,9951.12194144898,"0","2","1","1","0","2","4",1,1
1,1,11055.4220375244,"0","1","0","0","0","1","2",1,1
1,0,21111.9002430908,"0","1","1","0","1","1","3",1,1
1,1,24909.8323728516,"0","2","1","0","0","1","5",1,1
0,1,10717.1541769043,"0","1","1","0","0","1","0",1,1
1,1,8348.83151830444,"1","0","1","0","0","1","0",1,1
0,1,0,"1","1","1","0","0","3","0",1,1
0,NA,NA,"1","0","2","0","0","1","2",0,0
0,NA,NA,"0","0","2","0","1","1","0",0,0
1,1,35359.2975480469,"0","0","1","0","0","1","0",1,1
1,1,11411.168065686,"0","1","1","0","0","1","3",1,1
1,0,0,"0","0","1","0","0","1","0",1,1
0,0,29923.8239520264,"1","1","1","0","0","1","0",1,1
1,1,27537.2634478271,"0","2","0","0","0","2","2",1,1
0,1,57981.234694043,"0","2","0","0","2","3","4",1,1
1,1,38369.4676780518,"0","2","3","1","1","1","3",1,1
1,1,8552.28778994751,"1","2","0","0","0","3","1",1,1
1,0,30774.6187991455,"0","0","0","0","0","1","5",1,1
0,1,16242.2821664429,"1","2","1","1","0","1","2",1,1
1,NA,NA,"1","2","1","0","2","1","5",0,0
1,NA,NA,"0","2","2","0","0","3","4",0,0
1,1,137686.314762598,"0","0","0","0","0","1","2",1,1
0,1,28699.946071875,"0","1","1","0","0","1","2",1,1
1,1,0,"1","2","1","1","0","1","2",1,1
1,1,26005.6633278076,"0","0","0","0","0","1","2",1,1
0,NA,NA,"0","2","1","0","0","1","2",0,0
1,0,30747.3669740479,"0","0","0","0","0","1","0",1,1
0,NA,0,"0","2","1","1","0","1","2",0,1
1,0,9883.74524628296,"1","0","1","0","0","1","1",1,1
1,NA,NA,"1","1","2","0","0","1","5",0,0
0,0,0,"0","0","1","0","0","1","0",1,1
0,0,4246.4483459198,"0","0","1","0","0","1","2",1,1
0,1,NA,"0","0","0","0","1","1","1",1,0
1,1,22603.0659257813,"0","0","3","0","0","1","0",1,1
1,1,16524.7474326416,"1","0","2","0","0","1","5",1,1
1,0,47612.3758804688,"1","0","1","0","0","1","1",1,1
0,NA,NA,"0","0","1","0","1","1","0",0,0
1,0,47016.7486584961,"0","0","1","0","0","1","2",1,1
0,1,17556.3629932983,"0","2","1","0","0","3","0",1,1
1,0,NA,"0","1","1","0","0","1","0",1,0
1,1,38960.4637738037,"1","0","3","0","0","1","1",1,1
0,0,0,"1","0","2","0","0","1","0",1,1
1,0,19888.0223629395,"0","2","1","0","0","1","4",1,1
0,NA,NA,"1","1","1","0","0","3","0",0,0
0,0,0,"0","0","1","0","1","1","0",1,1
1,NA,32718.8101642822,"0","0","0","0","0","1","4",0,1
0,0,NA,"0","2","2","0","0","1","0",1,0
1,0,0,"0","0","1","0","1","1","0",1,1
0,0,16846.9116043579,"0","0","1","0","0","1","0",1,1
1,0,48801.3023786133,"1","0","0","0","1","1","2",1,1
1,0,0,"1","2","1","0","0","1","0",1,1
0,0,0,"1","0","1","0","0","1","0",1,1
1,NA,10587.2907110229,"1","0","1","0","0","1","2",0,1
1,NA,16830.5392110718,"1","1","2","1","2","1","5",0,1
1,NA,NA,"0","2","2","0","0","1","4",0,0
1,1,28914.1245151611,"1","1","0","0","0","3","2",1,1
1,1,NA,"0","0","0","0","1","1","0",1,0
0,1,3619.80372268982,"0","0","2","1","0","1","2",1,1
1,0,13424.415218811,"1","0","2","0","0","1","0",1,1
0,NA,0,"1","0","2","0","0","1","0",0,1
0,NA,NA,"1","0","2","0","1","1","0",0,0
1,NA,NA,"1","2","2","1","2","3","5",0,0
1,0,87.8593193867683,"1","1","0","0","0","1","0",1,1
1,0,0,"0","1","2","0","0","1","0",1,1
1,1,19949.5445220703,"0","1","3","0","0","3","0",1,1
0,0,40039.5681905273,"0","1","2","0","1","1","2",1,1
0,1,NA,"1","1","0","0","0","3","3",1,0
1,NA,NA,"0","0","0","0","1","1","0",0,0
0,1,0,"0","0","1","0","0","1","0",1,1
1,1,26005.6633278076,"0","0","0","0","0","1","5",1,1
0,1,6954.44956314697,"1","1","0","0","0","3","0",1,1
0,NA,25189.5177250488,"1","2","0","1","1","3","3",0,1
0,0,46297.0221130371,"0","0","2","0","1","1","2",1,1
0,1,33423.2936178223,"0","2","1","0","1","1","1",1,1
0,0,8589.97388913574,"1","0","1","0","0","1","1",1,1
1,0,845.645892263031,"1","1","1","0","0","1","0",1,1
1,1,28354.0900985596,"1","0","1","0","0","1","1",1,1
0,1,19888.0223629395,"0","2","1","0","1","1","4",1,1
1,NA,NA,"1","2","1","1","2","3","2",0,0
1,NA,0,"0","1","1","0","0","3","4",0,1
1,0,0,"0","1","1","0","1","1","1",1,1
0,0,2270.62833896942,"0","1","1","0","0","1","0",1,1
1,1,4997.30218901367,"1","0","1","0","0","1","0",1,1
1,1,3690.31230983276,"1","0","1","0","0","1","0",1,1
0,0,17241.5120385498,"1","0","2","1","0","1","1",1,1
0,0,42460.5327618164,"0","1","0","0","0","1","5",1,1
1,1,7585.18790383301,"0","1","1","0","0","1","0",1,1
1,0,9321.1575189148,"1","0","1","0","0","1","5",1,1
1,NA,21507.7352315186,"0","2","1","0","2","3","5",0,1
1,1,3613.94671011658,"1","0","1","1","1","1","0",1,1
1,1,4109.61961667175,"0","1","1","0","0","2","5",1,1
1,NA,9965.97435948486,"0","0","2","0","0","1","5",0,1
0,NA,NA,"1","0","1","0","0","1","0",0,0
1,1,0,"1","0","1","0","0","1","0",1,1
1,1,NA,"1","2","2","1","0","1","3",1,0
0,1,10543.1179394531,"1","1","1","1","0","3","2",1,1
1,1,NA,"0","0","0","0","0","1","4",1,0
1,0,3242.00876638184,"1","0","1","0","0","1","0",1,1
0,0,13277.2469430542,"0","1","1","1","1","1","0",1,1
0,0,NA,"0","0","1","0","1","1","1",1,0
0,NA,31015.1327484375,"0","0","0","0","0","1","0",0,1
1,1,1571.52810531006,"0","0","1","0","0","1","0",1,1
1,0,16251.6694840576,"1","2","1","1","0","1","0",1,1
0,0,3563.45319421692,"1","0","1","0","0","1","3",1,1
1,NA,22029.8092723389,"1","0","1","0","0","1","0",0,1
1,NA,22560.954872168,"1","1","2","0","0","2","4",0,1
1,1,32668.1377185059,"1","1","1","1","1","3","1",1,1
1,1,29008.7852304199,"0","1","1","0","0","1","1",1,1
0,1,5271.55896972656,"0","2","1","0","0","3","3",1,1
1,0,NA,"0","0","1","0","0","1","2",1,0
1,0,6423.64324903564,"0","2","2","0","0","1","5",1,1
1,1,33112.2032861572,"1","2","3","1","0","1","0",1,1
0,NA,23139.7292524658,"0","0","0","0","2","1","3",0,1
0,1,34559.4376597412,"1","2","1","1","0","3","4",1,1
0,1,0,"0","2","1","1","1","1","3",1,1
0,1,42439.8437626465,"1","1","1","1","0","1","0",1,1
1,0,21120.1892160645,"1","0","0","0","0","1","0",1,1
1,1,17468.7529819702,"0","1","1","0","0","3","1",1,1
1,1,NA,"0","0","1","0","0","1","0",1,0
0,0,19250.1181593018,"0","0","1","0","0","1","0",1,1
1,1,41767.4834846191,"0","2","0","0","1","2","3",1,1
0,1,17118.6014533447,"1","1","3","0","0","3","3",1,1
0,0,0,"0","1","1","0","1","1","0",1,1
1,1,19817.9128079956,"0","1","1","0","0","1","3",1,1
1,NA,NA,"0","0","3","0","0","1","0",0,0
0,NA,205.005075344467,"0","1","1","0","1","1","0",0,1
1,NA,22551.0759617432,"1","0","0","0","0","1","5",0,1
1,1,14736.0653235352,"1","2","0","0","0","3","0",1,1
1,NA,NA,"1","0","2","0","0","1","1",0,0
1,1,43117.6227060059,"1","1","2","1","0","1","0",1,1
1,NA,0,"1","1","1","0","0","3","2",0,1
0,0,NA,"0","0","3","0","0","1","1",1,0
0,NA,12108.9202887085,"1","0","2","0","0","1","2",0,1
1,1,20739.1911673096,"1","2","2","1","0","3","0",1,1
1,1,2264.61035142059,"0","1","2","0","1","1","0",1,1
1,0,13077.4064170166,"0","0","1","0","1","1","3",1,1
1,0,NA,"0","0","1","1","0","1","0",1,0
0,1,25936.8675763184,"1","1","1","1","1","1","0",1,1
1,0,0,"1","1","2","0","1","1","1",1,1
1,1,4187.960874646,"1","0","2","1","0","1","0",1,1
0,0,26765.1804106934,"1","0","0","1","0","1","0",1,1
1,0,23884.5951360352,"1","1","1","0","0","1","1",1,1
1,NA,14880.9527077148,"0","2","1","0","1","2","3",0,1
1,1,22727.4624338379,"1","2","0","1","0","1","0",1,1
1,NA,NA,"0","0","0","0","1","1","2",0,0
1,0,NA,"0","0","0","0","0","1","1",1,0
1,0,3075.07616886291,"0","1","1","0","1","1","2",1,1
0,0,24500.9658410156,"0","0","0","0","0","1","1",1,1
1,1,12464.1214784912,"1","1","0","0","0","3","5",1,1
0,1,5710.85534415894,"1","1","1","0","0","1","0",1,1
1,NA,21659.5247273437,"0","1","1","0","2","3","5",0,1
0,0,51076.7951027344,"1","2","1","1","0","1","5",1,1
1,NA,24292.478482251,"0","0","1","0","0","1","2",0,1
1,0,52970.1332348144,"0","2","2","0","0","3","3",1,1
1,1,33680.1750073242,"1","2","2","1","0","1","5",1,1
0,1,2372.20153637695,"1","1","2","0","0","1","2",1,1
1,1,21000.6739645752,"1","0","2","0","0","1","3",1,1
1,1,15657.6309612671,"0","2","1","0","0","1","4",1,1
1,1,0,"1","1","1","0","0","3","3",1,1
1,1,34410.0429762451,"0","0","0","0","0","1","2",1,1
1,NA,NA,"0","1","1","1","0","1","2",0,0
0,0,0,"0","0","1","0","1","1","2",1,1
1,0,9789.97670386963,"1","1","2","0","0","1","0",1,1
1,0,19007.2155890259,"0","0","2","0","0","1","0",1,1
0,1,16659.4810106689,"0","1","1","0","1","2","2",1,1
1,1,33429.7524291504,"0","2","0","0","0","3","4",1,1
1,1,0,"1","1","1","1","1","1","0",1,1
1,0,13764.9503500488,"1","2","1","1","0","1","0",1,1
1,0,5707.34113661499,"1","0","3","0","1","1","1",1,1
0,1,5491.82350535889,"1","2","3","1","0","3","3",1,1
1,0,49858.4820036621,"0","1","1","1","1","1","0",1,1
1,0,141930.367986621,"1","0","1","1","0","1","4",1,1
1,1,0,"1","1","2","1","0","2","4",1,1
0,1,1959.50318098755,"1","0","1","1","1","1","1",1,1
0,NA,0,"1","1","1","1","0","1","0",0,1
0,NA,NA,"1","0","1","0","0","1","2",0,0
1,0,17129.7161562744,"0","2","2","0","0","3","2",1,1
1,1,3889.66341003113,"0","1","1","0","0","1","1",1,1
1,NA,NA,"1","1","1","1","0","3","0",0,0
0,0,NA,"1","1","1","1","0","1","4",1,0
1,1,5454.63952426758,"1","1","0","0","0","4","0",1,1
